icao,manufacturer,model,registration,engine_type,num_engines,latitude,longitude,capture_date,capture_time,year,month,day,near_airport
C150,Cessna,150L,N11138,Piston,1,40.69164,-73.917207,2025-01-18,06:47:53,2025,1,18,KJFK
M20P,Mooney Aircraft Corp.,M20K,N1152Q,Piston,1,40.691714,-73.84475,2025-01-20,21:50:01,2025,1,20,KJFK
S76,Ultramagic,S-70,N1070,None,0,34.34286,-118.542178,2025-01-23,08:40:01,2025,1,23,KVNY
BOLT,Wallace Hale,SKYBOLT,N115JC,Piston,1,25.819075,-80.306454,2025-01-27,09:09:01,2025,1,27,KMIA
BE20,Beech,B200,N106GB,Turboprop,2,32.797316,-96.98508,2025-01-27,12:07:35,2025,1,27,KDFW
B206,Bell,206B,N10KX,Turboshaft,1,26.103332,-80.028683,2025-01-27,21:53:44,2025,1,27,KFLL
PA23,Piper,PA-23,N1089P,Piston,2,40.636532,-74.319515,2025-01-29,10:57:29,2025,1,29,KEWR
A321,Airbus,A321-211,N119DN,Turbofan,2,33.809623,-118.488655,2025-01-29,19:48:06,2025,1,29,KLAX
LJ25,Gates Learjet,25D,N108FL,Jet,2,34.210588,-118.430058,2025-02-07,15:30:49,2025,2,7,KVNY
RC70,Rockwell International,114,N114SE,Piston,1,41.904079,-87.821104,2025-02-08,20:05:31,2025,2,8,KORD
B78X,Boeing,787-10,N12021,Turbofan,2,33.843129,-84.244458,2025-02-10,13:36:45,2025,2,10,KPDK
M20P,Mooney,M20J,N1201J,Piston,1,41.99258,-87.973922,2025-02-11,07:48:36,2025,2,11,KPWK
M20P,Mooney,M20J,N1156U,Piston,1,41.999281,-88.01565,2025-02-11,08:44:33,2025,2,11,KORD
YALE,Ryan,NAVION,N10133,Piston,1,47.529705,-122.160063,2025-02-11,09:37:06,2025,2,11,KSEA
C172,Cessna,172M,N12141,2-Cycle,1,26.19487,-80.220511,2025-02-11,10:14:29,2025,2,11,KFLL
C172,Cessna,172L,N101UT,Piston,1,43.846595,-88.626717,2025-02-11,11:36:20,2025,2,11,KOSH
DHC2,Dehavilland,DHC-2 MK. I(L20A),N103TE,Piston,1,32.786502,-97.078578,2025-02-11,16:12:02,2025,2,11,KDFW
B58T,Beech,58,N118CF,Piston,2,44.974609,-93.315026,2025-02-14,11:17:47,2025,2,14,KMSP
C172,Cessna,172P,N109FR,Piston,1,34.16902,-118.349692,2025-02-16,06:39:28,2025,2,16,KVNY
C172,Cessna,172S,N1159Z,Piston,1,40.692385,-73.754844,2025-02-21,17:17:03,2025,2,21,KJFK
A37,Russell C Brown,DRAGONFLY,N107RB,2-Cycle,1,28.322745,-81.243343,2025-02-22,18:11:02,2025,2,22,KMCO
EDGE,Lundahl Dave B,AIRBORNE EDGE,N112DL,Rocket,1,40.958928,-73.972144,2025-02-23,20:19:39,2025,2,23,KTEB
C185,Cessna,A185F,N107L,Piston,1,33.923466,-118.445211,2025-02-24,19:21:45,2025,2,24,KLAX
F900,Dassault-Breguet,MYSTERE FALCON 900,N108FJ,Turbofan,3,40.746772,-73.995709,2025-02-25,17:48:04,2025,2,25,KTEB
PA46,Piper,PA-46-310P,N100GF,Piston,1,47.550697,-122.271416,2025-02-26,16:48:10,2025,2,26,KSEA
A321,Airbus,A321-211,N114DN,Turbofan,2,25.896071,-80.300254,2025-02-26,21:04:53,2025,2,26,KMIA
M20P,Mooney Aircraft Corp.,M20K,N1149L,Piston,1,33.728934,-111.932034,2025-02-27,07:29:12,2025,2,27,KSDL
PA24,Piper,PA-24,N1220Z,Piston,1,39.663275,-104.713761,2025-02-27,17:25:18,2025,2,27,KAPA
C182,Cessna,182D,N11FJ,Piston,1,36.136091,-115.118788,2025-02-28,15:05:18,2025,2,28,KLAS
RV10,Vadim Khrupin,RV-10,N119VK,Piston,1,32.905072,-97.063854,2025-03-01,19:38:10,2025,3,1,KDFW
C150,Cessna,150B,N1172Y,Piston,1,42.237588,-70.91705,2025-03-02,15:00:39,2025,3,2,KBOS
M20P,Mooney,M20J,N1006W,Piston,1,43.928031,-88.47889,2025-03-03,09:00:17,2025,3,3,KOSH
C340,Cessna,340A,N121CB,Piston,2,40.77534,-74.162983,2025-03-03,12:53:28,2025,3,3,KTEB
PA47,Piper,AEROSTAR 601P,N10EJ,Piston,2,40.6502,-74.15044,2025-03-03,19:04:45,2025,3,3,KEWR
PA28,Piper,PA-28-140,N1025X,Piston,1,39.928515,-104.547393,2025-03-06,16:23:06,2025,3,6,KDEN
LJ45,Learjet Inc,45,N1215V,Turbofan,2,40.590717,-73.657194,2025-03-08,10:35:42,2025,3,8,KJFK
C525,Cessna,525A,N10PF,Turbofan,2,42.141789,-88.001676,2025-03-08,11:18:42,2025,3,8,KPWK
M20P,Mooney,M20M,N1087Q,Piston,1,40.957652,-73.558145,2025-03-08,18:10:13,2025,3,8,KHPN
C150,Cessna,150L,N11144,Piston,1,42.286438,-83.355327,2025-03-09,13:51:43,2025,3,9,KDTW
BE10,Dji,MAVIC AIR,N114LU,Electric,4,33.043155,-96.736266,2025-03-10,08:43:01,2025,3,10,KADS
EAGL,Schumacher Joe,CHRISTEN EAGLE II,N101BJ,Piston,1,25.7259,-80.243992,2025-03-11,13:51:23,2025,3,11,KMIA
RV8,Taylor Liam R,RV-8 QUICK BUILD,N111LT,2-Cycle,1,28.297179,-81.274646,2025-03-11,14:00:49,2025,3,11,KMCO
RV4,Neal H M,NEAL RV-4,N104MN,Piston,1,32.623622,-117.068453,2025-03-12,08:55:41,2025,3,12,KSAN
C182,Cessna,182D,N109Y,Piston,1,33.509632,-84.359833,2025-03-12,17:44:41,2025,3,12,KATL
RV8,Balch Kenneth A,VANS RV-8,N118KB,Piston,1,47.313445,-122.407618,2025-03-13,11:01:27,2025,3,13,KSEA
BE35,Beech,M35,N108GB,Piston,1,33.015076,-96.846459,2025-03-13,13:03:26,2025,3,13,KADS
PA28,Piper,PA-28-161,N1190H,Piston,1,39.932467,-104.607565,2025-03-14,07:43:32,2025,3,14,KDEN
S22T,Cirrus Design Corp,SR22,N111TT,Piston,1,44.066566,-88.590128,2025-03-14,13:08:18,2025,3,14,KOSH
PA18,Piper,PA-18-150,N101EB,Piston,1,28.518485,-81.203381,2025-03-14,13:52:21,2025,3,14,KMCO
A5,Icon Aircraft Inc,A5,N116BA,2-Cycle,1,39.816473,-104.697799,2025-03-14,14:47:20,2025,3,14,KDEN
S22T,Cirrus Design Corp,SR22,N118AR,Piston,1,36.131017,-115.200391,2025-03-15,10:44:25,2025,3,15,KLAS
PA18,Piper,PA-18-150,N11EN,Piston,1,30.039326,-95.444472,2025-03-15,13:57:42,2025,3,15,KIAH
C150,Cessna,150L,N11299,Piston,1,33.820292,-118.502825,2025-03-18,12:21:22,2025,3,18,KLAX
RV6,Partch Gale E,RV-6,N10562,Piston,1,42.028341,-88.036138,2025-03-18,14:00:34,2025,3,18,KORD
C172,Cessna,172M,N1179U,2-Cycle,1,28.550492,-81.167094,2025-03-19,12:25:17,2025,3,19,KMCO
GLF6,Gulfstream Aerospace Corp,GVI (G650ER),N100ES,Turbofan,2,41.883613,-87.794868,2025-03-19,14:44:12,2025,3,19,KORD
M20P,Mooney Aircraft Corp.,M20K,N1085N,Piston,1,32.877913,-96.909336,2025-03-19,17:42:07,2025,3,19,KDFW
DHC2,Dehavilland,DHC-2,N107B,Piston,1,37.63851,-122.512908,2025-03-20,07:12:01,2025,3,20,KSFO
BE55,Beech,95-C55,N119AB,Piston,2,36.225634,-115.055806,2025-03-21,18:01:30,2025,3,21,KLAS
C140,Cessna,140A,N1136D,Piston,1,28.401987,-81.456809,2025-03-21,19:00:32,2025,3,21,KMCO
