icao,manufacturer,model,icaoClass,aircraftCategoryCode,aircraftType,engineCount,engineType
A002,IRKUT,A-002,Gyrocopter,1,9,1,1
A1,DOUGLAS,A-1 Skyraider,LandPlane,1,4,1,1
A10,FAIRCHILD,A-10 Thunderbolt 2,LandPlane,1,5,2,4
A109,AGUSTAWESTLAND,AW-109 Grand,Helicopter,1,6,2,3
A119,AGUSTAWESTLAND,AW-119 Koala,Helicopter,1,6,1,3
A122,AEROTEC,A-122 Uirapuru,LandPlane,1,4,1,1
A124,ANTONOV,An-124 Ruslan,LandPlane,1,5,4,4
A129,AGUSTAWESTLAND,AW-129,Helicopter,1,6,2,3
A139,AGUSTAWESTLAND,AW-139,Helicopter,1,6,2,3
A140,ANTONOV,An-140,LandPlane,1,5,2,3
A148,ANTONOV,An-148,LandPlane,1,5,2,4
A149,AGUSTAWESTLAND,AW-149,Helicopter,1,6,2,3
A158,ANTONOV,An-158,LandPlane,1,5,2,4
A16,AVIADESIGN,A-16 Sport Falcon,LandPlane,1,4,1,1
A169,AGUSTAWESTLAND,AW-169,Helicopter,1,6,2,3
A178,ANTONOV,An-178,LandPlane,1,5,2,4
A189,AGUSTAWESTLAND,AW-189,Helicopter,1,6,2,3
A19,AEROPRACT,A-19,LandPlane,1,4,1,1
A19N,AIRBUS,A-319NEO,LandPlane,1,5,2,4
A20,DOUGLAS,A-20 Havoc,LandPlane,1,5,2,1
A205,OSKBES-MAI,MAI-205,Gyrocopter,1,9,1,1
A20J,SCHLEICHER,ASW-20J,LandPlane,1,4,1,4
A20N,AIRBUS,A-320NEO,LandPlane,1,5,2,4
A21,AEROPRACT,A-21 Solo,LandPlane,1,4,1,1
A210,AQUILA,A-210,LandPlane,1,4,1,1
A211,ALFA-M,A-211,LandPlane,1,4,1,1
A21N,AIRBUS,A-321NEO,LandPlane,1,5,2,4
A22,SADLER,A-22 Piranha,LandPlane,1,4,1,1
A223,OSKBES-MAI,MAI-223 Kityonok,LandPlane,1,4,1,1
A225,ANTONOV,An-225 Mriya,LandPlane,1,5,6,4
A23,AEROPRACT,A-23 Dragon,LandPlane,1,4,1,1
A249,LEONARDO,AW-249 Fenice,Helicopter,1,6,2,3
A25,AEROPRACT,A-25 Breeze,Amphibian,3,4,1,1
A251,AVIATIK-ALYANS,Aleks-251,Amphibian,3,5,2,1
A27,AEROPRACT,A-27,LandPlane,1,4,1,1
A270,AERO,Ae-270 Propjet,LandPlane,1,4,1,3
A29,AVANTAGE,A-29,LandPlane,1,4,1,1
A2RT,KAZAN,Ansat 2RT,Helicopter,1,6,2,3
A3,DOUGLAS,A-3 Skywarrior,LandPlane,1,5,2,4
A306,AIRBUS,A-300B4-600,LandPlane,1,5,2,4
A30B,AIRBUS,A-300B4-200,LandPlane,1,5,2,4
A31,AVANTAGE,A-31 Spectrum,LandPlane,1,4,1,1
A310,AIRBUS,A-310,LandPlane,1,5,2,4
A318,AIRBUS,A-318,LandPlane,1,5,2,4
A319,AIRBUS,A-319,LandPlane,1,5,2,4
A320,AIRBUS,A-320,LandPlane,1,5,2,4
A321,AIRBUS,A-321,LandPlane,1,5,2,4
A32E,SCHLEICHER,ASG-32EL,LandPlane,1,4,1,10
A32P,SCHLEICHER,ASG-32Mi,LandPlane,1,4,1,1
A33,AEROPRACT,A-33,LandPlane,1,4,1,1
A332,AIRBUS,A-330-200,LandPlane,1,5,2,4
A333,AIRBUS,A-330-300,LandPlane,1,5,2,4
A337,AIRBUS,A-330-700 Beluga XL,LandPlane,1,5,2,4
A338,AIRBUS,A-330-800,LandPlane,1,5,2,4
A339,AIRBUS,A-330-900,LandPlane,1,5,2,4
A33E,SCHLEICHER,AS-33Me,LandPlane,1,4,1,10
A33P,SCHLEICHER,AS-33Es,LandPlane,1,4,1,1
A342,AIRBUS,A-340-200,LandPlane,1,5,4,4
A343,AIRBUS,A-340-300,LandPlane,1,5,4,4
A345,AIRBUS,A-340-500,LandPlane,1,5,4,4
A346,AIRBUS,A-340-600,LandPlane,1,5,4,4
A34E,SCHLEICHER,AS-34Me,LandPlane,1,4,1,10
A35,AVANTAGE,A-35 Scanner,LandPlane,1,4,1,1
A359,AIRBUS,A-350-900 XWB,LandPlane,1,5,2,4
A35K,AIRBUS,A-350-1000 XWB,LandPlane,1,5,2,4
A37,CESSNA,A-37 Dragonfly,LandPlane,1,5,2,4
A388,AIRBUS,A-380-800,LandPlane,1,5,4,4
A3ST,AIRBUS,A-300ST Beluga,LandPlane,1,5,2,4
A4,MCDONNELL DOUGLAS,A-4 Skyhawk,LandPlane,1,4,1,4
A400,AIRBUS,A-400M Atlas,LandPlane,1,5,4,3
A411,OSKBES-MAI,MAI-411,LandPlane,1,5,2,1
A5,ICON,A-5,Amphibian,3,4,1,1
A50,BERIEV,A-50,LandPlane,1,5,4,4
A500,ADAM,A-500 CarbonAero,LandPlane,1,5,2,1
A504,AVRO,504 Replica,LandPlane,1,4,1,1
A6,GRUMMAN,A-6 Intruder,LandPlane,1,5,2,4
A600,ROTORWAY,A-600 Talon,Helicopter,1,6,1,1
A660,AYRES,S-2R-T660 Turbo Thrush,LandPlane,1,4,1,3
A700,ADAM,A-700 AdamJet,LandPlane,1,5,2,4
A743,ANTONOV,An-74-300,LandPlane,1,5,2,4
A748,HAWKER SIDDELEY,HS-748 Andover,LandPlane,1,5,2,3
A890,OSKBES-MAI,MAI-890,LandPlane,1,4,1,1
A9,AAMSA,A-9 Quail,LandPlane,1,4,1,1
A900,OSKBES-MAI,MAI-900 Acrobat,LandPlane,1,4,1,1
A910,OSKBES-MAI,MAI-910 Interfly,LandPlane,1,4,1,1
AA1,GRUMMAN AMERICAN,AA-1 Lynx,LandPlane,1,4,1,1
AA37,AEROPRACT,A-37,LandPlane,1,5,2,1
AA5,GRUMMAN AMERICAN,AA-5 Traveler,LandPlane,1,4,1,1
AAT3,AERO,AT-3,LandPlane,1,4,1,1
AAT4,AERO,AT-4,LandPlane,1,4,1,1
AB11,AERO BOERO,AB-115,LandPlane,1,4,1,1
AB15,AERO BOERO,AB-150,LandPlane,1,4,1,1
AB18,AERO BOERO,AB-180,LandPlane,1,4,1,1
AB95,AERO BOERO,AB-95,LandPlane,1,4,1,1
AC10,FD-COMPOSITES,ArrowCopter,Gyrocopter,1,9,1,1
AC11,NORTH AMERICAN ROCKWELL,Commander 112,LandPlane,1,4,1,1
AC31,AVICOPTER,AC-311,Helicopter,1,6,1,3
AC33,AVICOPTER,AC-313,Helicopter,1,6,3,3
AC4,LIGHT WING,AC-4,LandPlane,1,4,1,1
AC50,AERO (1),Commander 500,LandPlane,1,5,2,1
AC52,AERO (1),Commander 520,LandPlane,1,5,2,1
AC56,AERO (1),Commander 560,LandPlane,1,5,2,1
AC5A,NANJING,AC-500 Aircar,LandPlane,1,4,1,1
AC5M,AVIASTROITEL,AC-5M,LandPlane,1,4,1,1
AC68,AERO (1),Commander 680 Super,LandPlane,1,5,2,1
AC6L,NORTH AMERICAN ROCKWELL,Commander 685,LandPlane,1,5,2,1
AC72,AERO (1),Commander 720 Alti Cruiser,LandPlane,1,5,2,1
AC80,AERO COMMANDER,680T Turbo Commander,LandPlane,1,5,2,3
AC90,NORTH AMERICAN ROCKWELL,Turbo Commander 690,LandPlane,1,5,2,3
AC95,ROCKWELL,Jetprop Commander 1000,LandPlane,1,5,2,3
ACAM,LOCKWOOD,Air Cam,LandPlane,1,5,2,1
ACAR,AUSTER,J-5 Autocar,LandPlane,1,4,1,1
ACED,POWELL,P-70 Acey Deucy,LandPlane,1,4,1,1
ACJR,SPENCER,Air Car Junior,Amphibian,3,4,1,1
ACPL,OPTION AIR,Acapella,LandPlane,1,4,1,1
ACR2,ACRO SPORT,Acro-Sport 2,LandPlane,1,4,1,1
ACRD,AVIA (3),Accord,LandPlane,1,5,2,1
ACRO,ACRO SPORT,Acro-Sport 1,LandPlane,1,4,1,1
ACSR,VICTA,Aircruiser,LandPlane,1,4,1,1
AD20,BEIJING KEYUAN,AD-200,LandPlane,1,4,1,1
ADEL,USTINOV,Adel,Gyrocopter,1,9,1,1
ADVE,AUSTER,J-5 Adventurer,LandPlane,1,4,1,1
ADVN,ADVENTURE AIR,Adventurer,Amphibian,3,4,1,1
AE45,LET,Aero 45,LandPlane,1,5,2,1
AEA1,AMERICAN EAGLE,A-1,LandPlane,1,4,1,1
AERK,AERONCA,K Scout,LandPlane,1,4,1,1
