ICAO,Manufacturer,Model,Engine_Type,Num_Engines,registration,Year,Month,Day,UTC,gpsLatitude,gpsCurrentLatitude,gpsCurrentLongitude,gpsCurrentLatitude,iPhotoReference,thumbs,raiting
A500,Adam,A-500,Piston,2,N12345,2024,1,27,20:09:45,43.99083,-88.57411,,,,0,0
M346,Aermacchi,M-346 Master,Jet,2,N4455,2024,2,8,20:09:45,43.99056,-88.56877,,,,1,4.5
M339,Aermacchi,MB-339,Jet,1,N12VS,2025,3,14,20:09:45,43.98986,-88.56456,,,,2,5
AAT3,Aero,3 AT-3,Piston,1,N3344,2025,5,20,20:09:45,43.98964,-88.55993,,,,1,5
B701,Boeing,707-100,Jet,4,N1678,2025,6,5,20:09:45,43.99007,-88.55594,,,,1,3
C172,Cessna,Skyhawk,Piston,1,N2757,2025,10,31,20:09:45,43.99289,-88.57291,,,,1,4
SR22,Cirrus,SR-22,Piston,1,N252Q,2025,12,24,20:09:45,43.98845,-88.55797,,,,2,2
S22T,Cirrus,SR22 Turbo,Piston,1,N7779,2026,1,5,20:09:45,43.98959,-88.55556,,,,2,1
DC3,Douglas,DC-3,Piston,2,N1573,2026,1,5,20:09:45,43.99073,-88.55169,,,,2,0
ACAM,Lockwood,Air Cam,Piston,2,N79QF,2026,1,7,20:09:45,43.9879,-88.55548,,,,0,5
HDJT,Honda,HondaJet,Jet,2,N769F,2026,1,15,20:09:45,43.98968,-88.55128,,,,,
